NO CLIENTE,FACTURA,NOMBRE DEL CLIENTE,DESTINO,PROGRAMACION,ESTATUS,FECHA DE ENVIO,SURTIDOR,CAJAS,PAQUETERIA,INCIDENCIA
C03616,238390,BAHIA PRINCIPE,"TULUM, QR",13/05/2026,ENVIADO,,,26,CEDIS MONTERREY,
C09008,238391,THE FIVES OCEANFRONT,"PUERTO MORELOS, QR",13/05/2026,PENDIENTE,,,3,SOLO FACTURA,
C09008,238392,THE FIVES OCEANFRONT,"PUERTO MORELOS, QR",13/05/2026,PENDIENTE,,,4,SOLO FACTURA,
C04913,238393,PRESIDENTE INTERCONTINENTAL COZUMEL,"COZUMEL, QR",13/05/2026,ENVIADO,14/05/2026,KEVIN,13,TRES GUERRAS,
C00034,238394,BEACHSCAPE KIN HA VILLAS & SUITES,"CANCUN, QR",13/05/2026,PENDIENTE,,,2,,
C07427,238395,INSUMOS DEL NORTE,"CD JUAREZ, CHI",13/05/2026,ENVIADO,15/05/2026,KEVIN,35,TRES GUERRAS,
C07427,238396,INSUMOS DEL NORTE,"CD JUAREZ, CHI",13/05/2026,ENVIADO,15/05/2026,KEVIN,36,TRES GUERRAS,238397 VIAJA JUNTO  238396
C07427,238397,INSUMOS DEL NORTE,"CD JUAREZ, CHI",13/05/2026,ENVIADO,15/05/2026,KEVIN,54,TRES GUERRAS,
C09592,238398,ESCENCIA HOTELERA,"MANZANILLO, COL",14/05/2026,ENVIADO,14/05/2026,KEVIN,900,TRES GUERRAS,
C08503,238399,DREAMS HUATULCO (DREHU)   A0099149,"HUATULCO, OAX",14/05/2026,ENVIADO,14/05/2026,KEVIN,8,TRES GUERRAS,
C04140,238400,CITY EXPRESS CANCUN AEROPUERTO (CECHC),"BENITO JUAREZ, QR",14/05/2026,PENDIENTE,,,1,,
C04152,238401,DUAL HOMEWOOD SUITES & TRU BY HILTON,"SALTILLO, COA",14/05/2026,ENVIADO,14/05/2026,KEVIN,10,TRES GUERRAS,
C09522,238402,WYNDHAM ALLTRA PLAYA DEL CARMEN,"PLAYA DEL CARMEN, QR",14/05/2026,PENDIENTE,,,16,,
C00308,238403,QUALITY INN AGUASCALIENTES (143211),"AGUASCALIENTES, AGS",14/05/2026,ENVIADO,14/05/2026,KEVIN,7,ONE,
C07317,238404,CITY EXPRESS LA PAZ (CELAP),"LA PAZ, BCS",14/05/2026,ENVIADO,14/05/2026,KEVIN,13,TRES GUERRAS,
C03025,238405,HOTEL CENTENARIO HUAMANTLA,"HUAMANTLA, TLA",14/05/2026,ENVIADO,14/05/2026,KEVIN,2,TRES GUERRAS,
C09421,238406,GRUPO AGC,"GUADALAJARA, JAL",14/05/2026,PENDIENTE,,,1120,,
C08899,238407,HOTEL HB,"CORDOBA, VER",14/05/2026,ENVIADO,14/05/2026,KEVIN,15,TRES GUERRAS,
C07298,238408,LE BLANC CABOS,"SAN  JOSE DEL CABO, BCS",14/05/2026,ENVIADO,,,4,,
